prompt_id,family,split,replicate,requested_model,resolved_model,response_id,collection_mode,response_status,incomplete_reason,response_text,input_tokens,cached_input_tokens,output_tokens,total_tokens,created_at_utc,latency_seconds,attempts,error
fact-001,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_06890011c6137aba016a6786e43d4081979ea57865fd6ac41e,batch,completed,,"The sky is blue because of **Rayleigh scattering**: molecules in the atmosphere scatter shorter-wavelength light (blue) much more strongly than longer-wavelength light (red). Sunlight enters the atmosphere, and blue light gets redirected in many directions toward your eyes, making the sky look blue even though the sun itself is white. Near **sunset**, the sunlight travels through more atmosphere, so more blue light is scattered away. The remaining light reaching your eyes is enriched in **longer wavelengths** like red and orange, making the sky (and sun) appear redder.",89,0,120,209,2026-07-27T16:27:16Z,0.0,1,
fact-002,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_048676ce8d8b8aae016a6786e40d148196bb4a286683404af9,batch,completed,,"Weather is the short-term condition of the atmosphere at a specific time and place, while climate is the long-term pattern of weather over many years. For example, on a single day in Chicago it might be 95°F and sunny (weather). But Chicago’s climate is typically hot, humid summers and cold winters, based on decades of average weather observations.",85,0,75,160,2026-07-27T16:27:16Z,0.0,1,
fact-003,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0bbab08af8f16052016a6786e441b081978497b6deaaea84bb,batch,completed,,"Ocean tides are mainly caused by the gravitational pull of the Moon and the Sun acting on Earth. The Moon’s gravity creates a stronger pull on the side of Earth facing it than on the opposite side, stretching the oceans into “bulges.” Earth’s rotation brings coastal locations through these bulges, producing roughly two high tides and two low tides each day. Tide height varies because the pull depends on the alignment of the Sun and Moon (spring vs. neap tides) and because local water depth, coastal shape, ocean currents, and seafloor geography amplify or damp the tidal motion.",84,0,122,206,2026-07-27T16:27:16Z,0.0,1,
fact-004,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_01b9102209455713016a6786e4228481979d346aac7d774e3a,batch,completed,,"A seed begins with germination, when it absorbs water and becomes active. The seed coat loosens, and the embryo resumes growth. First, roots (radicle) emerge to anchor the plant and absorb water and minerals. Then shoots develop upward toward light, forming stems and leaves. As the plant grows, it makes more leaves to produce energy through photosynthesis. Eventually, once it reaches a suitable age and environmental conditions, it shifts energy to reproduction, producing flowers. After pollination and fertilization, flowers develop seeds, completing the cycle.",83,0,113,196,2026-07-27T16:27:16Z,0.0,1,
fact-005,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_006842f958025da6016a67871396e48197b4401fb62886f0fd,batch,completed,,"Seasons occur because Earth’s axis is tilted about 23.5° relative to its orbit around the Sun. As Earth travels, the tilt keeps pointing in nearly the same direction in space, so different hemispheres receive different amounts of sunlight during the year. When a hemisphere tilts toward the Sun, it experiences more direct sunlight and longer days, making warmer seasons (spring/summer). When it tilts away, it gets less direct sunlight and shorter days, leading to cooler seasons (fall/winter).",80,0,106,186,2026-07-27T16:28:03Z,0.0,1,
fact-006,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0f3e269f789c2fa2016a678717952481979750b09facc716f7,batch,completed,,"Water from oceans, lakes, rivers, and even soil is heated by the Sun and evaporates into water vapor. Plants release additional water vapor through transpiration. Rising air cools the vapor and it condenses onto tiny particles, forming clouds. When droplets or ice crystals in clouds grow heavy enough, they fall as precipitation—such as rain, snow, sleet, or hail. After falling, water collects in rivers, lakes, reservoirs, glaciers, and groundwater, where it can be stored before the cycle repeats.",84,0,108,192,2026-07-27T16:28:07Z,0.0,1,
fact-007,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0aab331daa6a3f09016a67870af21881959efc2514e75d4e92,batch,completed,,"Mass and weight are related but not the same. **Mass** is the amount of matter in an object and is measured in **kilograms (kg)**. It’s an intrinsic property that doesn’t change with location. **Weight** is the force of gravity acting on that mass and is measured in **newtons (N)**. Because gravity varies by location (for example, on the Moon vs. Earth), the weight of the same object changes, while its mass stays the same.",81,0,102,183,2026-07-27T16:27:54Z,0.0,1,
fact-008,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_02ad47fe43f954b7016a67870e0f808194a9720517c4acac44,batch,completed,,"Vaccines train the immune system by exposing it to a harmless version of a pathogen or parts of it. This “practice” lets immune cells recognize specific markers (antigens) and build responses—such as making antibodies and activating T cells—without causing the full disease because the material is weakened, inactive, or only a fragment/toxin-safe component. Afterward, memory cells remain, so if the real pathogen is encountered later, the immune system responds faster and more effectively, often preventing illness or reducing its severity.",86,0,107,193,2026-07-27T16:27:58Z,0.0,1,
fact-009,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0ec3d19aecd4c6cc016a6787112ac48193a71f05d5d533dae7,batch,completed,,"Metal usually feels colder than wood even when both are at the same air temperature because of **thermal conductivity**. Metal conducts heat away from your hand much faster than wood, so your skin loses heat quickly and triggers a stronger “cold” sensation. Wood, being less conductive and more insulating (and often slightly rough and air-filled), slows heat transfer, so your skin’s temperature drops more slowly. This is mainly about **how quickly heat flows**, not the actual room temperature.",86,0,99,185,2026-07-27T16:28:01Z,0.0,1,
fact-010,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_024eeb910681277d016a678712a970819783b14e9ff6dfdc41,batch,completed,,"Bees play a key role in flowering plant reproduction by acting as pollinators. When they collect nectar and pollen for food, they move between flowers and transfer pollen grains from anthers to stigmas of other flowers. This enables fertilization and the formation of seeds and fruit. Bees can be especially effective because they visit many flowers and often show flower “constancy,” meaning they transfer pollen within the same plant species, improving the chances of successful cross-pollination.",83,0,98,181,2026-07-27T16:28:02Z,0.0,1,
