prompt_id,family,split,replicate,requested_model,resolved_model,response_id,response_status,incomplete_reason,response_text,input_tokens,cached_input_tokens,output_tokens,total_tokens,created_at_utc,latency_seconds,attempts,error
fact-001,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_00ddc5c01d2862b9016a67807e5d9c81949bd9d2b9399887de,completed,,"The sky looks blue during the day mainly due to **Rayleigh scattering**: molecules in Earth’s atmosphere scatter shorter-wavelength (blue) light much more strongly than longer-wavelength (red) light. So when you look in any direction away from the Sun, you receive scattered blue light from across the sky. Near **sunset**, sunlight travels through more atmosphere, so much of the blue light gets scattered away before it reaches your eyes. The remaining light is richer in **reds and oranges**, making the sky and sun appear redder.",89,0,113,202,2026-07-27T16:00:00.870871Z,7.613249,1,
fact-001,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_05990f0ae8d34cd3016a67807e594c8193aed02aacac2f6286,completed,,"The sky appears blue because sunlight is scattered by molecules in Earth’s atmosphere. Shorter wavelengths, like blue and violet, scatter much more strongly than longer wavelengths such as red. Although violet scatters even more, our eyes are less sensitive to it and some is absorbed, so the sky looks blue.

Near sunset, sunlight passes through much more atmosphere. Most of the blue light is scattered out of the direct path, leaving the longer red and orange wavelengths to dominate, so the sky often looks red or orange.",89,0,106,195,2026-07-27T16:00:00.708470Z,7.450337,1,
fact-002,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0045a48a0ea5a1b4016a67809620b48196b60109a57437aefe,completed,,"Weather is short-term atmospheric conditions, like what’s happening today or this week. Climate is the long-term pattern of those conditions over many years. For example, in a single city, one day might be sunny and mild (weather), while over decades the city averages mild spring temperatures every year (climate).",85,0,66,151,2026-07-27T16:00:23.776770Z,6.062996,1,
fact-002,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_01d25390ae44b3f7016a67809623388197bc2c9de410bf8797,completed,,"Weather is the short-term condition of the atmosphere at a specific time and place, while climate is the average pattern of weather in a region over many years. For example, if it rains in New York City this afternoon, that is weather. But saying New York City has cold winters and warm, humid summers describes its climate.",85,0,69,154,2026-07-27T16:00:23.973019Z,6.258881,1,
fact-003,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0ccf692296c04921016a6780961e088196886ba05ae39f0794,completed,,"Ocean tides are caused mainly by the gravitational pull of the Moon and, to a lesser extent, the Sun. As Earth rotates, different ocean areas experience slightly different gravitational “pull strengths,” creating two broad tidal bulges—one facing the Moon more directly and one on the opposite side. The height (tidal range) varies because the relative alignment of the Moon and Sun changes: during new and full moons, their effects combine to produce higher “spring tides,” while during quarter moons they partially cancel, producing lower “neap tides.” Local geography and ocean basin shape also amplify or reduce tide heights.",84,0,124,208,2026-07-27T16:00:24.171237Z,6.45675,1,
fact-003,factual,heldout,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0d3a5cf244c37d35016a6780978cfc81939a33c3e41cfc8bd6,completed,,"Ocean tides are caused mainly by the Moon’s gravity, with the Sun also contributing. The Moon’s pull creates a bulge of water on the side of Earth facing it, and a second bulge on the opposite side due to the Earth–Moon system’s rotation. As Earth spins, most coastlines pass through these bulges, producing high and low tides.

Tide height varies because the Sun and Moon sometimes reinforce each other and sometimes partially cancel. When they line up during new and full moons, tides are larger (spring tides). When they are at right angles during quarter moons, tides are smaller (neap tides). Local coast shape, water depth, and seafloor features also strongly affect tidal height.",84,0,148,232,2026-07-27T16:00:25.725194Z,1.94833,1,
fact-004,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0af037b02569039a016a67809791d48190bc4c4842d83350f2,completed,,"A seed begins life with an embryo inside a protective seed coat. When conditions are right—typically enough water, oxygen, and suitable temperature—the seed absorbs water and swells. The embryo starts to grow: first the radicle (embryonic root) emerges to anchor the seed and absorb water and minerals. Next, the shoot grows upward, forming stems and leaves. The plant photosynthesizes to produce energy. As it matures, it develops roots, stems, and specialized tissues, eventually reaching reproductive growth. Flowers form, allowing pollination, fertilization, and seed production for the next generation.",83,0,126,209,2026-07-27T16:00:26.342767Z,2.369662,1,
fact-004,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_075fcc5d6576dc17016a678097bfe48193bf31fa682db8b058,completed,,"A seed becomes a mature flowering plant through germination and growth. When conditions are right—usually enough water, oxygen, and warmth—the seed absorbs water, swells, and the seed coat breaks open. The root emerges first and grows downward to anchor the plant and absorb water and minerals. Then the shoot grows upward, forming stems and leaves. Leaves begin photosynthesis, making food for growth. Over time the plant develops more roots, stems, and leaves, and eventually produces flowers, which can form new seeds.",83,0,107,190,2026-07-27T16:00:26.326636Z,2.155322,1,
fact-005,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_02a8824918a9aed9016a6780994ae48193ba82fff68fae990e,completed,,"Seasons occur because Earth’s axis is tilted about 23.5° relative to its orbit around the Sun. As Earth travels yearly, different hemispheres tilt toward or away from the Sun. When a hemisphere tilts toward the Sun, it receives more direct sunlight and longer daylight hours, making it warmer (summer). When it tilts away, sunlight is less direct and days are shorter, making it cooler (winter). The changing angle and day length, not Earth’s distance from the Sun, primarily drive the seasons.",80,0,109,189,2026-07-27T16:00:27.063133Z,1.33787,1,
fact-005,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0b70a42c49789c73016a678099e2dc8194a4955a9c18f92e9a,completed,,"Seasons occur because Earth’s axis is tilted about 23.5 degrees relative to its orbit around the Sun. As Earth travels around the Sun, each hemisphere alternately tilts toward and away from the Sun.

When a hemisphere tilts toward the Sun, it gets more direct sunlight and longer days, so it experiences summer. When it tilts away, sunlight is less direct and days are shorter, so it experiences winter. Spring and fall happen during the transitions between these extremes.

It’s not mainly because Earth is closer to or farther from the Sun.",80,0,116,196,2026-07-27T16:00:27.939493Z,1.612789,1,
fact-006,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_08f7dcc225cf3797016a678099f5788194b0efcea1bb3d0510,completed,,"Water cycles through evaporation, when the Sun warms oceans, lakes, and rivers so liquid water turns into water vapor and rises into the atmosphere. As the vapor cools higher up, it condenses onto tiny particles, forming clouds. When cloud droplets or ice crystals grow heavy enough, they fall as precipitation—such as rain, snow, sleet, or hail. Afterward, water is collected when it runs off into rivers and lakes, soaks into the ground as groundwater, or is stored in snow and ice.",84,0,108,192,2026-07-27T16:00:28.046648Z,1.703833,1,
fact-006,factual,heldout,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0162afc084baa988016a67809aae008196bbdee5398a234822,completed,,"The water cycle begins with **evaporation**, when the Sun heats water in oceans, lakes, and rivers and turns it into water vapor. This vapor rises into the air and cools, causing **condensation**, where it forms tiny droplets and clouds. When the droplets become heavy enough, they fall as **precipitation** such as rain, snow, or hail. The water then **collects** in rivers, lakes, oceans, and underground, where it can evaporate again and repeat the cycle.",84,0,108,192,2026-07-27T16:00:28.491025Z,1.427823,1,
fact-007,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_063c04e437ac46c9016a67809b853c81958c7ad1761cf2b92c,completed,,"Mass is the amount of matter in an object and is measured in kilograms (kg). It does not change with location. Weight is the force gravity exerts on an object and is measured in newtons (N). Because weight depends on gravitational strength, it changes with location (for example, you weigh less on the Moon than on Earth, but your mass stays the same). Mathematically, weight equals mass times gravitational acceleration: \(W = mg\).",81,0,96,177,2026-07-27T16:00:29.610717Z,1.671151,1,
fact-007,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_00c15873c138973a016a67809ba6388196811657be10f9cb61,completed,,"Mass is the amount of matter in an object, and it stays the same regardless of location. It’s measured in kilograms or grams.

Weight is the force of gravity acting on that mass, so it can change depending on the gravitational field. It’s measured in newtons.

For example, a person’s mass is the same on Earth and the Moon, but their weight is much less on the Moon because gravity is weaker there.",81,0,90,171,2026-07-27T16:00:29.494625Z,1.44791,1,
fact-008,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0a59986c450e7d04016a67809c15e88196955c925b792eb985,completed,,"Vaccines train the immune system by showing it a safe “look-alike” of a disease-causing germ. This can be done using a weakened or inactivated form of the germ, a harmless piece of it (like a protein or sugar coat), or genetic instructions that help cells make that piece. The immune system responds by activating B cells and T cells and forming long-lived memory cells. Because it’s not the full disease-causing organism (or it can’t replicate effectively), the vaccine doesn’t cause the target illness, though mild side effects can occur.",86,0,117,203,2026-07-27T16:00:29.810856Z,1.319752,1,
fact-008,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0115d27a0ed7bbcf016a67809d1034819399f1774d32152d61,completed,,"Vaccines expose the immune system to a safe version or piece of a germ, such as a weakened, killed, or fragmentary form, or instructions for making one of its proteins. This lets immune cells recognize the target and build defenses, including antibodies and memory cells, without the full pathogen causing disease. Later, if the real germ enters the body, the immune system responds much faster and more strongly, often stopping infection before symptoms develop or making illness much milder.",86,0,98,184,2026-07-27T16:00:31.014783Z,1.520087,1,
fact-009,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_02d37f1fddf98990016a67809d383481908381b473bbdb2cb2,completed,,"Metal usually feels colder because it conducts heat away from your skin much faster than wood. Your body warms the surface it touches; with metal, heat flows quickly into the metal’s cooler interior, so the skin temperature drops and you perceive “cold.” Wood is a poorer conductor and has more trapped air in its structure, so it transfers heat more slowly, keeping your skin warmer. Even if both surfaces are at the same air temperature, their different thermal conductivity and heat capacity make metal feel colder.",86,0,102,188,2026-07-27T16:00:32.670375Z,3.059599,1,
fact-009,factual,heldout,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0f1bfe55d3e089d3016a67809d6340819089029c8bb1f046f3,completed,,"Metal usually feels colder than wood because it draws heat away from your skin much faster. Both objects are in the same room and are often at the same temperature, but metal has much higher thermal conductivity, so it pulls heat from your hand quickly. Wood is a poor conductor, so it slows that heat transfer and feels warmer. Your skin senses the rate of heat loss, not just the actual temperature.",86,0,84,170,2026-07-27T16:00:31.150735Z,1.339822,1,
fact-010,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0d284d9c6acdb0e5016a67809e9428819487a9e32a3be6c808,completed,,"Bees are key pollinators for many flowering plants. As they forage for nectar and pollen, they move between flowers and transfer pollen grains from the male anthers to the female stigma or receptive parts. This cross-pollination enables fertilization, leading to seed and fruit formation. Bees also help maintain plant genetic diversity by mixing pollen from different individuals. In return, flowers provide nectar, pollen, and sometimes shelter, while evolved traits like bright colors and nectar guides attract bees effectively.",83,0,101,184,2026-07-27T16:00:32.270785Z,1.255939,1,
fact-010,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_042d7c90f757a1be016a67809ebb348195b523cdabf863e189,completed,,"Bees play a key role in the reproduction of many flowering plants by acting as pollinators. As they visit flowers to collect nectar and pollen, pollen grains stick to their bodies and are transferred to other flowers. This movement of pollen from the male part of one flower to the female part of another enables fertilization, leading to the production of seeds and often fruits. Bees are especially important because many plants depend on them for successful pollination.",83,0,93,176,2026-07-27T16:00:32.995219Z,1.844435,1,
fact-011,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0a15c73ba756b3d8016a67809fdad0819698c7f2a755b886a9,completed,,"A rainbow forms when sunlight enters many water droplets and is refracted, separated into different colors, reflected inside the droplet, and then refracted again as it exits. The light bends as it enters (dispersion), spreads into a spectrum because different wavelengths bend by different amounts, and reflects off the back of the droplet. When the light leaves, it bends again toward your eyes, producing a bright arc at a specific angle. Different droplets produce light that lines up for those angles, creating the rainbow.",85,0,106,191,2026-07-27T16:00:33.860289Z,1.589452,1,
fact-011,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0efe4d9faf1872f3016a6780a03d148194b84b986599f5e079,completed,,"A rainbow forms when sunlight enters tiny water droplets in the air and is bent, or refracted, as it slows down. Inside the droplet, the light reflects off the back surface, then refracts again as it exits. Different colors bend by slightly different amounts, so the white sunlight spreads out into a spectrum. Each droplet sends only one color toward your eyes at a specific angle, and together many droplets create the colored arc you see.",85,0,94,179,2026-07-27T16:00:34.264659Z,1.594201,1,
fact-012,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0b81792d82880b2f016a6780a08fa8819389394142677369c7,completed,,"Red blood cells (erythrocytes) mainly transport oxygen from the lungs to the body’s tissues and carry carbon dioxide back to the lungs. They contain hemoglobin, a protein that binds oxygen in the bloodstream and releases it where oxygen is needed. As tissues use oxygen, red blood cells pick up carbon dioxide, helping move it to the lungs for exhalation.",86,0,79,165,2026-07-27T16:00:34.626514Z,1.631221,1,
fact-012,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_025718ff2b45019f016a6780a16c58819381b4dd86ad3fd057,completed,,"Red blood cells mainly carry oxygen from the lungs to the body’s tissues and help bring some carbon dioxide back to the lungs to be exhaled. They do this using hemoglobin, a protein that binds oxygen. Their flexible shape helps them move easily through small blood vessels.",86,0,59,145,2026-07-27T16:00:35.286390Z,1.425924,1,
fact-013,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_016218334da0a294016a6780a1d6e081938d7ec0d113fde975,completed,,"The Moon shows phases because you’re seeing different portions of its sunlit half as the Moon orbits Earth. The Moon itself doesn’t produce light; sunlight illuminates the half facing the Sun. As the Moon moves in its orbit, the angle between the Sun, Earth, and Moon changes, so Earth views progressively more or less of that illuminated half. That produces the cycle: new moon, waxing crescent, first quarter, waxing gibbous, full moon, then the waning phases back to new moon.",86,0,108,194,2026-07-27T16:00:35.686836Z,1.422052,1,
fact-013,factual,heldout,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0a6caf878b99f077016a6780a231588197ba7bcb374192cf3f,completed,,"The Moon shows phases because it orbits Earth, and we see different portions of its sunlit half from our viewpoint. The Sun always lights up half of the Moon, but as the Moon moves around Earth over about a month, the angle between the Sun, Moon, and Earth changes. That makes the Moon appear new, crescent, quarter, gibbous, and full at different times. The phases are not caused by Earth’s shadow; that only happens during a lunar eclipse.",86,0,102,188,2026-07-27T16:00:36.142892Z,1.516261,1,
fact-014,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_093e33fc5552d0f1016a6780a2e5888193ac57dc04d5dd993a,completed,,"When a bell rings, it creates vibrations in the metal. Those vibrations push and pull on nearby air molecules, compressing and rarefying them to form a sound wave. The wave travels outward in all directions: high-pressure regions become low-pressure regions and repeat, carrying energy through the air. The listener’s eardrum is struck by the arriving pressure changes, causing the eardrum and inner ear bones/fluid to vibrate. The inner ear converts these vibrations into nerve signals, which the brain interprets as sound.",85,0,110,195,2026-07-27T16:00:37.366853Z,2.080397,1,
fact-014,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_062b74ce0056ef70016a6780a33fac8197993c9a2e30bdb2d1,completed,,"When a bell rings, it vibrates and makes the surrounding air particles move back and forth. This creates pressure waves—compressions and rarefactions—that travel outward through the air. The waves carry energy, not the air itself over long distances. When they reach a listener’s ear, they make the eardrum vibrate. Those vibrations are passed through the middle ear and converted by the inner ear into nerve signals, which the brain interprets as sound.",85,0,97,182,2026-07-27T16:00:37.138935Z,1.452038,1,
fact-015,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0530b09f8b7c982d016a6780a3b57c81959bf03db645c0aad2,completed,,"A **bacterium** is a living, single-celled organism. It has its own cell structure, can carry out basic life processes on its own, and reproduces by dividing. Antibiotics can often kill bacteria because they use bacterial cell machinery.

A **virus** is much simpler and not considered fully living. It cannot reproduce on its own; it must enter a host cell and use the host’s machinery to make new viruses. Viruses are generally not affected by antibiotics, though antivirals may help.",88,0,108,196,2026-07-27T16:00:37.854936Z,1.711982,1,
fact-015,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_052478ec57a164e9016a6780a4b44c819681fce7193276afdd,completed,,"A **bacterium** is a living single-celled organism. It can grow and reproduce on its own, and many bacteria live harmlessly in or on our bodies. Some cause disease, but many are helpful.

A **virus** is much smaller and not considered fully alive in the same way. It cannot reproduce by itself; it must enter a living cell and use that cell’s machinery to make more viruses.

So, basic difference: **bacteria are independent cells, while viruses need host cells to multiply.**",88,0,109,197,2026-07-27T16:00:38.718902Z,1.579903,1,
fact-016,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_09417641df6a52d8016a6780a512688190a6f7b8f8b6fead82,completed,,"Objects fall toward Earth because Earth’s gravity pulls on them. Every object with mass creates a gravitational pull on other masses, and Earth is so massive that its pull strongly accelerates nearby objects downward. When you release an object, the only significant force (ignoring air resistance) is gravity, so it accelerates toward Earth at roughly 9.8 m/s². The speed increases the longer it falls, producing the familiar effect of objects dropping to the ground.",82,0,97,179,2026-07-27T16:00:38.882786Z,1.51587,1,
fact-016,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0f27e86a5f67c5f0016a6780a56aa88195aca653461e34fd4e,completed,,"Objects fall toward Earth when released because Earth exerts a gravitational force on them. Gravity pulls everything with mass toward other masses, and Earth is very massive, so its pull is strong near the surface. When you let go of an object, gravity accelerates it downward unless another force, like air resistance or a support, acts to hold it up. In free fall, the object speeds up as it moves toward the ground.",82,0,89,171,2026-07-27T16:00:39.683028Z,1.828024,1,
fact-017,factual,heldout,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0a8770423a675277016a6780a6484c819691516588311eb3a2,completed,,"Photosynthesis stores energy from sunlight by converting it into chemical energy inside sugars. In plants, algae, and some bacteria, light is captured by chlorophyll in the chloroplasts (or analogous structures). Light energy drives reactions that split water and release oxygen, producing energy-rich molecules (ATP) and reducing power (NADPH). During the Calvin cycle, this ATP and NADPH are used to fix carbon dioxide, building carbohydrates such as glucose that store the captured energy in chemical bonds.",82,0,101,183,2026-07-27T16:00:40.054356Z,1.335387,1,
fact-017,factual,heldout,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_05630869f4e9b5b9016a6780a6748c819496a75b26e2a77486,completed,,"Photosynthesis stores sunlight energy by converting it into chemical energy. Chlorophyll in chloroplasts absorbs light, exciting electrons. That energy is used to split water and drive a series of reactions that make ATP and NADPH, which are energy-carrying molecules. The plant then uses ATP and NADPH to build sugars like glucose from carbon dioxide. The energy from sunlight ends up stored in the chemical bonds of these sugars, where it can be used later.",82,0,95,177,2026-07-27T16:00:40.471134Z,1.58829,1,
fact-018,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_006c5d9e746e50f2016a6780a740208193a46dcf7dfca272b0,completed,,"When liquid water freezes, its molecules slow down and start arranging into a more rigid, crystalline lattice (ice). Water molecules form an extensive hydrogen-bond network, so many bonds lock into place and the structure becomes open and ordered. Because the lattice is less densely packed than liquid water, the solid expands and becomes less dense. Molecules still vibrate, but their motion is greatly restricted compared with the liquid state.",84,0,87,171,2026-07-27T16:00:40.990776Z,1.307684,1,
fact-018,factual,calibration,1,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,resp_0e279d3e81534a32016a6780a79f888193bf4a4d651982310e,completed,,"When liquid water freezes, the water molecules lose thermal energy and move more slowly. Hydrogen bonds then hold the molecules in a more ordered arrangement, forming a crystal lattice. In ordinary ice, this lattice spaces the molecules farther apart than in liquid water, which is why ice is less dense and floats. The molecules are still vibrating, but they are no longer freely flowing past one another.",84,0,80,164,2026-07-27T16:00:41.261574Z,1.207143,1,
fact-019,factual,calibration,1,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,resp_0f695f0cd6375115016a6780a8089881908edc92b70f3dcae0,completed,,"Leap years are added to keep the calendar aligned with Earth’s orbit around the Sun. A year isn’t exactly 365 days—it’s about 365.25 days—so without adjustment the calendar would drift earlier each year. By adding an extra day (Feb. 29) every four years, the calendar corrects this extra time and keeps seasons occurring around the same dates. The rule has extra refinements (skipping some leap years) because the actual fraction isn’t exactly 1/4.",83,0,105,188,2026-07-27T16:00:42.227071Z,1.755872,1,
