id,family,split,text
fact-001,factual,calibration,"Explain why the sky appears blue during a clear day and often red near sunset."
fact-002,factual,calibration,"Describe the difference between weather and climate using one concrete example."
fact-003,factual,heldout,"Explain what causes ocean tides and why their height varies."
fact-004,factual,calibration,"Describe how a seed becomes a mature flowering plant."
fact-005,factual,calibration,"Explain why seasons occur on Earth."
fact-006,factual,heldout,"Describe the water cycle from evaporation through precipitation and collection."
fact-007,factual,calibration,"Explain the difference between mass and weight."
fact-008,factual,calibration,"Describe how vaccines train the immune system without causing the target disease."
fact-009,factual,heldout,"Explain why metal usually feels colder than wood in the same room."
fact-010,factual,calibration,"Describe the role of bees in flowering plant reproduction."
fact-011,factual,calibration,"Explain how a rainbow forms after sunlight passes through water droplets."
fact-012,factual,calibration,"Describe the main job of red blood cells in the human body."
fact-013,factual,heldout,"Explain why the Moon shows phases over the course of a month."
fact-014,factual,calibration,"Describe how sound travels from a ringing bell to a listener."
fact-015,factual,calibration,"Explain the difference between a virus and a bacterium at a basic level."
fact-016,factual,calibration,"Describe why objects fall toward Earth when released."
fact-017,factual,heldout,"Explain how photosynthesis stores energy from sunlight."
fact-018,factual,calibration,"Describe what happens to water molecules when liquid water freezes."
fact-019,factual,calibration,"Explain why leap years are added to the calendar."
fact-020,factual,heldout,"Describe the basic function of a computer processor and memory."
fact-021,factual,calibration,"Explain why salt can help melt ice on a road."
fact-022,factual,calibration,"Describe how the kidneys help maintain the body's internal balance."
fact-023,factual,calibration,"Explain the difference between renewable and nonrenewable energy sources."
fact-024,factual,heldout,"Describe how an eclipse differs from an ordinary lunar phase."
fact-025,factual,calibration,"Explain why a compass needle generally points north."
fact-026,factual,calibration,"Describe how fermentation changes sugar into other substances."
fact-027,factual,heldout,"Explain why insulating materials slow the transfer of heat."
fact-028,factual,calibration,"Describe the relationship among DNA, genes, and chromosomes."
fact-029,factual,calibration,"Explain how erosion and weathering differ."
fact-030,factual,heldout,"Describe why a sealed bag of air expands as it rises to lower atmospheric pressure."
reason-001,reasoning,calibration,"A farmer has 17 sheep and all but 9 wander away. State how many remain and briefly justify the interpretation."
reason-002,reasoning,calibration,"A train travels 120 kilometers in 2 hours and then 90 kilometers in 1.5 hours. Find its average speed for the whole trip."
reason-003,reasoning,heldout,"Three boxes are labeled apples, oranges, and mixed, but every label is wrong. Explain the minimum first draw needed to relabel all boxes."
reason-004,reasoning,calibration,"A book and a pen cost 27 dollars together. The book costs 21 dollars more than the pen. Find both prices."
reason-005,reasoning,calibration,"If every glim is a tor and no tor is a vep, determine whether any glim can be a vep and explain."
reason-006,reasoning,heldout,"A clock loses 5 minutes every 2 hours. Starting correct at noon, what time will it display when the real time is midnight?"
reason-007,reasoning,calibration,"Four friends split a 54 dollar bill. One pays twice as much as each of the other three. Find each payment."
reason-008,reasoning,calibration,"A jar contains 4 red, 3 blue, and 3 green marbles. Find the probability of drawing a non-red marble once."
reason-009,reasoning,heldout,"A two-digit number has digits summing to 9, and reversing them increases the number by 27. Find the number."
reason-010,reasoning,calibration,"A recipe for 6 servings uses 450 grams of flour. Calculate the flour needed for 14 servings."
reason-011,reasoning,calibration,"A map scale is 1 centimeter to 8 kilometers. Two towns are 7.5 centimeters apart. Find the real distance."
reason-012,reasoning,calibration,"Identify the next two terms and rule in the sequence 2, 6, 12, 20, 30."
reason-013,reasoning,heldout,"A rectangle has perimeter 50 meters and length 15 meters. Find its width and area."
reason-014,reasoning,calibration,"A store discounts an 80 dollar item by 25 percent and then adds 10 percent tax. Find the final price."
reason-015,reasoning,calibration,"Five machines make five parts in five minutes at equal rates. Find how long 100 machines need to make 100 parts."
reason-016,reasoning,calibration,"A bag has two fair coins. One is selected and flipped twice. Find the probability of exactly one head."
reason-017,reasoning,heldout,"A ladder reaches 12 feet up a wall with its base 5 feet away. Find the ladder length."
reason-018,reasoning,calibration,"Arrange the tasks wake up, commute, get dressed, and start work into a valid order using ordinary dependencies."
reason-019,reasoning,calibration,"A tank is one-third full. Adding 40 liters makes it three-fifths full. Find the tank's capacity."
reason-020,reasoning,heldout,"Two cyclists start 90 kilometers apart and ride toward each other at 20 and 25 kilometers per hour. Find when they meet."
reason-021,reasoning,calibration,"A password has one letter followed by two different digits. Find the number of possibilities using 26 letters and digits 0 through 9."
reason-022,reasoning,calibration,"A meeting begins at 14:35 and lasts 1 hour 50 minutes. State the ending time."
reason-023,reasoning,calibration,"A fair six-sided die is rolled twice. Find the probability that the sum equals 7."
reason-024,reasoning,heldout,"A shop buys an item for 48 dollars and marks it up 30 percent. It then discounts the marked price 20 percent. Find the sale price."
reason-025,reasoning,calibration,"Determine whether the conclusion is valid: all poets are writers; some teachers are poets; therefore some teachers are writers."
reason-026,reasoning,calibration,"A square and a circle have equal perimeter of 40 units. Compare their areas and identify which is larger."
reason-027,reasoning,heldout,"Three consecutive integers sum to 72. Find the integers."
reason-028,reasoning,calibration,"A car uses 8 liters per 100 kilometers. Estimate the fuel needed for a 375 kilometer trip."
reason-029,reasoning,calibration,"A class average is 76 for 20 students. One score of 56 was entered as 65. Find the corrected average."
reason-030,reasoning,heldout,"A bridge allows at most 900 kilograms. Eight identical crates and a 180 kilogram cart total exactly the limit. Find each crate's mass."
summary-001,summarization,calibration,"Summarize this in one sentence: A neighborhood library extended weekend hours after surveys showed that working families could rarely visit on weekdays. Attendance rose, and the library kept the new schedule."
summary-002,summarization,calibration,"Summarize this in two bullet points: A small factory replaced old motors, added sensors, and trained operators. Electricity use fell 18 percent while output remained steady."
summary-003,summarization,heldout,"Summarize this in one sentence: Researchers planted native grasses along a riverbank. The roots reduced erosion, water clarity improved, and insects returned within two seasons."
summary-004,summarization,calibration,"Summarize this in plain language: The committee postponed the vote because two cost estimates conflicted and members wanted an independent review before committing funds."
summary-005,summarization,calibration,"Give a headline and one-sentence summary: A school introduced free breakfast for every student, reducing late arrivals and increasing morning class participation."
summary-006,summarization,heldout,"Summarize the tradeoff: A city can repair one aging bridge now or spread the same budget across temporary fixes for four smaller bridges."
summary-007,summarization,calibration,"Summarize this without adding facts: A software update improved battery life but removed support for several older accessories, frustrating some long-time users."
summary-008,summarization,calibration,"Condense this to 25 words or fewer: Volunteers converted an empty lot into a garden, donated half the produce, and used the rest for free cooking classes."
summary-009,summarization,heldout,"Summarize the causal chain: Heavy rain saturated the hillside, a retaining wall failed, debris blocked the road, and deliveries were delayed."
summary-010,summarization,calibration,"Summarize this for a child: Coral reefs shelter many sea animals, soften waves before they reach shore, and are harmed when ocean water becomes too warm."
